Person,Day,Calculator-Bin1,Calculator-Bin2,Calendar-Bin1,Calendar-Bin2,Camera-Bin1,Camera-Bin2,Clock-Bin1,Clock-Bin2,Contacts-Bin1,Contacts-Bin2,Facebook-Bin1,Facebook-Bin2,Gallery-Bin1,Gallery-Bin2,Gmail-Bin1,Gmail-Bin2,Google Play Store-Bin1,Google Play Store-Bin2,Google Search-Bin1,Google Search-Bin2,Instagram-Bin1,Instagram-Bin2,Internet-Bin1,Internet-Bin2,Maps-Bin1,Maps-Bin2,Messaging-Bin1,Messaging-Bin2,Messenger-Bin1,Messenger-Bin2,Phone-Bin1,Phone-Bin2,Photos-Bin1,Photos-Bin2,Settings-Bin1,Settings-Bin2,Twitter-Bin1,Twitter-Bin2,WhatsApp-Bin1,WhatsApp-Bin2,YouTube-Bin1,YouTube-Bin2
1,Day1,-0.13324338802436272,0.33444160770017123,-0.1463400407717778,-0.31854918509289853,-0.30607034481742385,-0.4320904662917301,0.181529887107403,-0.2950402953672018,-0.10724346437223309,-0.3732923210279274,-0.6630272021672844,-0.24225318435320403,-0.18890036928292148,-0.2918843639991063,-0.2300578738074906,-0.17191917521671207,-0.18934153807769524,-0.27365434559854473,0,0,-0.5247964544130055,-0.6767309803877868,0,0,-0.22646034606617435,-0.08528800982583128,-0.19085916955087312,2.4553200006264593,-0.5533098458775274,-0.4511822419189042,-0.20149652894336198,5.131715255910718,-0.21264956729048046,-0.29027187967015783,-0.2505240872509258,-0.2060956666636989,-0.050448320108959596,0.08184356154234314,-0.3438507064004653,-0.35492806144663147,-0.3204963184941043,-0.22284518713320717
1,Day2,-0.13324338802436272,-0.30690888454809906,-0.1463400407717778,-0.31854918509289853,-0.30607034481742385,-0.4320904662917301,-0.27642050991354544,-0.06276205090316223,-0.10724346437223309,-0.3732923210279274,-0.6630272021672844,0.17450481670967982,-0.18890036928292148,-0.2918843639991063,-0.2300578738074906,-0.5529639143164395,-0.18934153807769524,-0.27365434559854473,0,0,-0.5247964544130055,-0.6734009755635713,0,0,-0.22646034606617435,-0.3099753298291767,-0.19085916955087312,0.17506634591947726,-0.5533098458775274,-0.5734231641715863,-0.20149652894336198,-0.4295486848351303,-0.21264956729048046,-0.29027187967015783,-0.2505240872509258,-0.44209796003569485,-0.2688905491294645,0.4348296438977299,-0.3438507064004653,-0.35492806144663147,-0.3204963184941043,-0.3821831843130146
2,Day1,-0.13324338802436272,-0.30690888454809906,-0.1463400407717778,-0.31854918509289853,-0.30607034481742385,-0.4320904662917301,-0.27642050991354544,-0.2950402953672018,-0.10724346437223309,-0.3732923210279274,0.06270674121797265,1.012743289102449,-0.18890036928292148,7.51850158987527,-0.2300578738074906,-0.29893408824995454,-0.18934153807769524,-0.27365434559854473,0,0,1.8040351211669976,2.9085742136841946,0,0,-0.22646034606617435,-0.3099753298291767,-0.19085916955087312,-0.30887237936006207,0.3936384038322538,2.2987161116628,-0.20149652894336198,-0.4295486848351303,-0.21264956729048046,-0.29027187967015783,-0.2505240872509258,-0.44209796003569485,-0.2688905491294645,-0.4058700331624278,-0.3438507064004653,-0.22473419452652085,-0.3204963184941043,1.3058037233105706
2,Day2,-0.13324338802436272,-0.30690888454809906,-0.1463400407717778,-0.31854918509289853,-0.30607034481742385,-0.4320904662917301,-0.27642050991354544,-0.20212899758158598,-0.10724346437223309,-0.3732923210279274,-0.6630272021672844,-0.022658316937633514,-0.18890036928292148,2.572132262801906,-0.2300578738074906,-0.5529639143164395,-0.18934153807769524,-0.27365434559854473,0,0,-0.11552159830859902,0.18130026265173077,0,0,-0.22646034606617435,-0.3099753298291767,-0.19085916955087312,-0.30887237936006207,1.3874652797652915,2.8900696329877413,-0.20149652894336198,-0.4295486848351303,-0.21264956729048046,-0.29027187967015783,-0.2505240872509258,-0.44209796003569485,-0.2688905491294645,-0.4058700331624278,-0.3438507064004653,-0.35492806144663147,-0.3204963184941043,2.5107973269828645
3,Day1,-0.13324338802436272,-0.30690888454809906,-0.1463400407717778,-0.31854918509289853,-0.30607034481742385,0.3265496268831092,0.35480841570992405,-0.2950402953672018,-0.10724346437223309,-0.3732923210279274,-0.24271796854647915,0.10248714513790667,-0.18890036928292148,-0.2918843639991063,7.635024129838999,0.8804901042015829,-0.18934153807769524,1.4346623975162751,0,0,0.6127186386095703,-0.35705051726310233,0,0,-0.22646034606617435,-0.3099753298291767,-0.19085916955087312,-0.30887237936006207,4.720535604238829,-0.15759506967100945,-0.20149652894336198,3.833146010863464,-0.21264956729048046,-0.29027187967015783,-0.2505240872509258,0.9739158001962807,-0.2688905491294645,-0.4058700331624278,-0.2703088664116506,0.8403239668060505,-0.11081941764757983,0.19375728465983108
3,Day2,-0.13324338802436272,-0.30690888454809906,-0.1463400407717778,-0.31854918509289853,-0.30607034481742385,-0.4148486459923019,-0.028879754767086825,0.8663509269529962,-0.10724346437223309,-0.3732923210279274,-0.07879736743436512,0.30319213148547114,-0.18890036928292148,-0.2918843639991063,0.077260815191721,1.1889548929966005,-0.18934153807769524,-0.27365434559854473,0,0,-0.5247964544130055,-0.14615021172945636,0,0,-0.22646034606617435,-0.3099753298291767,-0.19085916955087312,-0.30887237936006207,-0.11030682806775355,-0.030130176381887894,-0.20149652894336198,-0.4295486848351303,-0.21264956729048046,-0.29027187967015783,0.17163565126552788,-0.44209796003569485,-0.2688905491294645,-0.4058700331624278,0.11470429588273243,-0.22654244267818907,-0.3204963184941043,3.3622597494124604
4,Day1,-0.13324338802436272,-0.30690888454809906,-0.1463400407717778,-0.31854918509289853,-0.30607034481742385,-0.018286779105454145,0.3919395289818928,-0.2950402953672018,-0.10724346437223309,-0.3732923210279274,-0.4360602160120496,-0.5338657233405477,-0.18890036928292148,-0.04800521892216419,-0.2300578738074906,-0.5529639143164395,-0.18934153807769524,-0.2157453034590593,0,0,-0.3480204602270647,-0.26603038540121304,0,0,-0.22646034606617435,-0.2626727361442619,-0.19085916955087312,-0.30887237936006207,-0.3798589288514784,-0.6099909614266622,-0.20149652894336198,-0.4295486848351303,-0.21264956729048046,-0.29027187967015783,-0.2505240872509258,-0.44209796003569485,-0.2688905491294645,-0.4058700331624278,0.4694355240640741,0.12244945059377403,-0.3204963184941043,-0.3821831843130146
4,Day2,-0.13324338802436272,-0.30690888454809906,-0.1463400407717778,-0.31854918509289853,-0.24606843563539424,-0.2682931734471625,0.1443987738354342,-0.14405943646557606,-0.10724346437223309,-0.3732923210279274,-0.25532724555510333,1.0670516971729664,-0.18890036928292148,0.0020212723756700846,-0.2300578738074906,-0.5529639143164395,-0.18934153807769524,-0.27365434559854473,0,0,0.38982716767947095,-0.6645209626989967,0,0,-0.22646034606617435,-0.3099753298291767,-0.19085916955087312,-0.30887237936006207,-0.0587403392221714,-0.47625730289381335,-0.20149652894336198,-0.18677269554368717,-0.21264956729048046,-0.29027187967015783,-0.2505240872509258,-0.44209796003569485,-0.2688905491294645,-0.4058700331624278,0.919338545172117,0.008529817038677265,-0.3204963184941043,-0.37222455948927663
5,Day1,-0.13324338802436272,0.5749480422932727,-0.05464596459199299,-0.17375410095976285,-0.30607034481742385,-0.25105135314773436,0.23103803813669474,0.5411613847033407,-0.10724346437223309,-0.3732923210279274,0.7450087304624131,-0.0627993142071464,-0.10298396855240435,2.3532663633738813,-0.2300578738074906,-0.5529639143164395,-0.18934153807769524,-0.27365434559854473,0,0,-0.10975716371557921,0.0703001018445487,0,0,-0.22646034606617435,-0.3099753298291767,-0.19085916955087312,-0.30887237936006207,-0.5533098458775274,-0.5462585147821014,-0.20149652894336198,-0.4295486848351303,-0.21264956729048046,-0.29027187967015783,-0.2505240872509258,-0.3991884521498774,-0.2688905491294645,-0.4058700331624278,-0.3438507064004653,-0.35492806144663147,0.42813881340158527,-0.3805234135090583
5,Day2,-0.13324338802436272,-0.30690888454809906,-0.1463400407717778,-0.31854918509289853,0.533956383730991,-0.2941559038963048,-0.27642050991354544,0.06499098355205955,-0.10724346437223309,-0.3732923210279274,-0.6560220482736043,1.7836865601904466,0.9566516404573067,-0.01673866186101777,-0.2300578738074906,-0.5529639143164395,-0.18934153807769524,-0.27365434559854473,0,0,-0.5247964544130055,0.1024901484786315,0,0,-0.22646034606617435,-0.0557238887727595,-0.19085916955087312,-0.30887237936006207,-0.5533098458775274,-0.5253626306363438,-0.20149652894336198,-0.07385363075696944,-0.21264956729048046,-0.29027187967015783,-0.2505240872509258,-0.37773369820696867,-0.2688905491294645,-0.4058700331624278,-0.3438507064004653,-0.35492806144663147,-0.3204963184941043,0.04271814149980527
