Person,Day,Calculator-Bin1,Calendar-Bin1,Camera-Bin1,Clock-Bin1,Contacts-Bin1,Facebook-Bin1,Gallery-Bin1,Gmail-Bin1,Google Play Store-Bin1,Google Search-Bin1,Instagram-Bin1,Internet-Bin1,Maps-Bin1,Messaging-Bin1,Messenger-Bin1,Phone-Bin1,Photos-Bin1,Settings-Bin1,Twitter-Bin1,WhatsApp-Bin1,YouTube-Bin1
1,Day1,-0.2829821078454743,-0.33051355881546085,-0.07451634532204073,-0.41040893463414796,-0.14686018928833935,-0.6827182082028584,-0.340699604733491,-0.432526923748458,-0.34738146292701677,0,-0.6352664641065316,0,-0.27552922263907315,1.1950947825215619,-0.7212213735910019,-0.3810621641265914,-0.2597111772054973,-0.05501975113207011,-0.37160205938702784,-0.4140681545537417,-0.39457043701584654
1,Day2,-0.2829821078454743,-0.33051355881546085,-0.15696036656462906,-0.41040893463414796,-0.14686018928833935,-0.666547789273133,-0.340699604733491,-0.432526923748458,-0.34738146292701677,0,-0.6715963069355539,0,-0.25739195297568046,-0.05516239402874706,-0.5793771018131948,-0.3810621641265914,-0.2597111772054973,-0.3559763532774665,-0.37160205938702784,-0.4140681545537417,-0.39457043701584654
1,Day3,4.319221615018997,-0.2636125051228627,-0.15696036656462906,0.2205867347430787,-0.14686018928833935,-0.42117925855686517,-0.340699604733491,-0.432526923748458,-0.3366876981069139,0,-0.5691275194690808,0,-0.27552922263907315,4.591515347695664,-0.32088458021811206,-0.3810621641265914,-0.2597111772054973,-0.3559763532774665,-0.37160205938702784,-0.21932949455784945,1.0101019655732488
1,Day4,-0.2829821078454743,-0.33051355881546085,-0.15696036656462906,1.452530660670045,-0.14686018928833935,-0.4514109113385257,-0.340699604733491,-0.432526923748458,2.176347034617258,0,-0.6818431856822013,0,-0.27552922263907315,-0.08190586304586597,-0.7529496975413009,0.48591022797876277,-0.2597111772054973,-0.31083286295565704,-0.37160205938702784,-0.4140681545537417,-0.2738178971441524
1,Day5,0.05172361745375995,-0.33051355881546085,-0.15696036656462906,-0.18805807971074429,-0.14686018928833935,-0.3853231122344306,-0.340699604733491,-0.3327313394694911,-0.34738146292701677,0,-0.6892954611343084,0,-0.16065984810425282,1.9706553840180103,-0.5999071937810353,1.6188624406129257,-0.2597111772054973,-0.19045022209749848,0.08315874768115007,-0.4140681545537417,-0.31571163546698505
1,Day6,-0.2829821078454743,-0.33051355881546085,-0.15696036656462906,-0.2902192833242,-0.14686018928833935,-0.13714233474777573,-0.340699604733491,-0.432526923748458,-0.34738146292701677,0,-0.6865008578397682,0,-0.27552922263907315,0.11198428732824613,-0.7090899556100053,-0.3810621641265914,-0.2597111772054973,-0.3559763532774665,0.20283264427803901,-0.4140681545537417,-0.39457043701584654
1,Day7,-0.2829821078454743,-0.33051355881546085,0.19409159485542452,-0.41040893463414796,-0.14686018928833935,-0.5301538209093624,-0.340699604733491,-0.432526923748458,-0.34738146292701677,0,-0.6613494281889066,0,-0.27552922263907315,8.984130133757445,-0.4179359240660854,-0.3810621641265914,-0.2597111772054973,-0.3559763532774665,-0.37160205938702784,-0.4140681545537417,-0.36992706153182736
1,Day8,-0.2829821078454743,-0.33051355881546085,-0.15696036656462906,-0.3262761787171844,-0.14686018928833935,-0.2763485498819334,-0.340699604733491,-0.432526923748458,-0.34738146292701677,0,-0.6734593757985807,0,-0.27552922263907315,1.3488697293699956,-0.5644461258365835,-0.3810621641265914,-0.2597111772054973,-0.3559763532774665,-0.37160205938702784,-0.4065298838442232,-0.2590318718537409
1,Day9,-0.2829821078454743,-0.33051355881546085,-0.15696036656462906,-0.23613394023472345,-0.14686018928833935,-0.8008325725591134,-0.340699604733491,-0.432526923748458,-0.34738146292701677,0,-0.6892954611343084,0,-0.27552922263907315,0.3927907120079947,-0.621370471747414,-0.3810621641265914,-0.2597111772054973,-0.3559763532774665,-0.37160205938702784,-0.4140681545537417,-0.39457043701584654
2,Day1,-0.2829821078454743,-0.33051355881546085,-0.14898191289599147,-0.10392532379378074,-0.07900880621213008,0.27344569372872973,-0.340699604733491,-0.0713619520721968,-0.2939126388265025,0,1.930179360281351,0,-0.27552922263907315,-0.2824818806742578,1.242201967333381,1.998543558467027,-0.2597111772054973,6.566025496066651,-0.37160205938702784,-0.4140681545537417,-0.04956318023957753
2,Day2,-0.2829821078454743,-0.33051355881546085,-0.15696036656462906,-0.3262761787171844,-0.14686018928833935,0.534984643374723,1.2933193191511014,-0.3469878515093435,-0.34738146292701677,0,3.195203118276538,0,-0.27552922263907315,-0.2824818806742578,2.2061831038233466,2.6969943848938227,-0.2597111772054973,-0.3559763532774665,-0.37160205938702784,-0.4140681545537417,0.5131272266455279
2,Day3,-0.2829821078454743,-0.33051355881546085,-0.15696036656462906,-0.41040893463414796,-0.14686018928833935,0.7262174237610406,9.286138300605453,-0.36599653422914674,-0.34738146292701677,0,3.448580483648181,0,-0.27552922263907315,-0.2824818806742578,2.233245497780955,-0.3810621641265914,-0.2597111772054973,-0.3559763532774665,-0.37160205938702784,-0.32360890603952075,0.4408399918924049
2,Day4,-0.2829821078454743,-0.33051355881546085,-0.15696036656462906,-0.3623330741101688,-0.14686018928833935,-0.254553637411434,3.1893978817719026,-0.432526923748458,-0.34738146292701677,0,0.22919748833789652,0,-0.27552922263907315,-0.2824818806742578,3.1570996363337778,-0.3810621641265914,-0.2597111772054973,-0.3559763532774665,-0.37160205938702784,-0.4140681545537417,1.03720967860567
2,Day5,-0.2829821078454743,-0.33051355881546085,-0.1117491291090161,0.11241604856412554,-0.14686018928833935,-0.15753112383308168,3.4899957026752,-0.3089704860697371,-0.34738146292701677,0,0.9278483119729408,0,-0.27552922263907315,-0.2824818806742578,2.4880052753818847,-0.16178109071352756,-0.2597111772054973,-0.3559763532774665,-0.37160205938702784,-0.3663257733934584,-0.11938607744429865
2,Day6,-0.2829821078454743,-0.33051355881546085,-0.1410034592273539,-0.41040893463414796,-0.14686018928833935,-0.2826761051153042,2.896507697302023,-0.3612443635491959,-0.34738146292701677,0,-0.0046176539719649705,0,-0.2664605878073768,-0.2824818806742578,2.3816220715485295,-0.3810621641265914,-0.2597111772054973,-0.3559763532774665,-0.37160205938702784,-0.4140681545537417,0.08761827662146277
2,Day7,-0.2829821078454743,-0.33051355881546085,-0.13302500555871632,-0.320266696151687,-0.1129344977502347,0.42530701932962905,-0.27133087683273,-0.39926172898880236,-0.34738146292701677,0,2.1658575714542394,0,-0.27552922263907315,-0.2824818806742578,0.4088668706387642,-0.34857607917650785,-0.2597111772054973,-0.3559763532774665,-0.37160205938702784,-0.4140681545537417,-0.011776671164081402
