Person,Day,Calculator-Bin1,Calendar-Bin1,Camera-Bin1,Clock-Bin1,Contacts-Bin1,Facebook-Bin1,Gallery-Bin1,Gmail-Bin1,Google Play Store-Bin1,Instagram-Bin1,Maps-Bin1,Messaging-Bin1,Messenger-Bin1,Phone-Bin1,Photos-Bin1,Settings-Bin1,Twitter-Bin1,WhatsApp-Bin1,YouTube-Bin1
1,Day1,-0.3331204495113725,-0.3777018115600047,0.12231499060968144,-0.43961623261123284,-0.45322168919821537,-0.5137750237862427,-0.3820791003866137,-0.45891533311970245,-0.4402138485926832,-0.6932928905407496,-0.2912063237047026,8.456222501752068,-0.48641350435652536,-0.41574697683143685,-0.27001877066714564,-0.39576990961299163,-0.36957021287438957,-0.43807713410664323,-0.4069562634288029
1,Day2,-0.3331204495113725,-0.3777018115600047,-0.11138653344810621,-0.3988465465708489,-0.45322168919821537,-0.4669540812500864,-0.3820791003866137,-0.45891533311970245,-0.4402138485926832,-0.685800485274567,-0.2912063237047026,1.1869182821209239,-0.7298156632833401,-0.41574697683143685,-0.27001877066714564,-0.2188293338311118,-0.36957021287438957,-0.4344403926349308,-0.35923017984591793
1,Day3,-0.3331204495113725,-0.3777018115600047,-0.1424798692669535,-0.355164740099009,-0.45322168919821537,-0.7020342302337045,-0.3820791003866137,-0.45891533311970245,-0.4402138485926832,-0.7137721316016485,-0.28302153935649815,0.14709583197862763,-0.6838621436519291,-0.41574697683143685,-0.27001877066714564,-0.39576990961299163,-0.36957021287438957,-0.43807713410664323,-0.4342283111904515
1,Day4,4.625954203408735,-0.3115493468487642,-0.1424798692669535,0.1719290579945258,-0.45322168919821537,-0.4129799391597951,-0.3820791003866137,-0.45891533311970245,-0.4269239378259552,-0.5943931410271398,-0.2912063237047026,4.315838563912743,-0.38137688805615716,-0.41574697683143685,-0.27001877066714564,-0.39576990961299163,-0.36957021287438957,-0.2501788247348358,1.1202784112235165
1,Day5,-0.3331204495113725,-0.3777018115600047,-0.1424798692669535,1.365898434891483,-0.45322168919821537,-0.44094244650777736,-0.3820791003866137,-0.45891533311970245,2.6962050923551204,-0.715270612654885,-0.2912063237047026,-0.08922745214462155,-0.848991824085681,0.3828781961649918,-0.27001877066714564,-0.3426877368784277,-0.36957021287438957,-0.43807713410664323,-0.30059527715837353
2,Day1,-0.3331204495113725,-0.3777018115600047,-0.1083775009495081,0.06709272246211004,-0.45322168919821537,-0.16912086345064767,4.1833797367214,-0.3447805541866483,-0.4402138485926832,1.0109795606735752,-0.2912063237047026,-0.27828607944322087,2.658625179867961,-0.21375278787683663,-0.27001877066714564,-0.39576990961299163,-0.36957021287438957,-0.39201174213161943,-0.1296904445187092
2,Day2,-0.3331204495113725,-0.3777018115600047,-0.130443739272561,-0.43961623261123284,-0.45322168919821537,-0.284872638053923,3.4760551281553695,-0.3930683452737097,-0.4402138485926832,0.01099320448041043,-0.28302153935649815,-0.27828607944322087,2.5434888889233265,-0.41574697683143685,-0.27001877066714564,-0.39576990961299163,-0.36957021287438957,-0.43807713410664323,0.09939475667913873
2,Day3,-0.3331204495113725,-0.3777018115600047,-0.12442567427536476,-0.352252619667553,-0.3221504097871887,0.3699702665837076,-0.2994047954892855,-0.4281867387915725,-0.4402138485926832,2.3386337738411234,-0.2912063237047026,-0.27828607944322087,0.40841766912545757,-0.3858219118011257,-0.27001877066714564,-0.39576990961299163,-0.36957021287438957,-0.43807713410664323,-0.010602502626177146
2,Day4,-0.3331204495113725,-0.3777018115600047,-0.1394708367683554,-0.2678011271553292,-0.2172933862583673,0.3754977389664482,0.23338516940460743,-0.23942537363305985,-0.40698907167586323,1.2622248839328967,-0.2912063237047026,-0.27828607944322087,1.0931756100067043,2.261611185099213,-0.27001877066714564,3.673863333370244,-0.36957021287438957,-0.427166909691506,0.28529921558770976
2,Day5,-0.3331204495113725,-0.3777018115600047,-0.1424798692669535,-0.372637462687745,0.29388460344463674,-0.13758175632559794,0.7018728971561339,-0.40843264243777466,-0.4402138485926832,1.424560331366852,-0.2912063237047026,-0.27828607944322087,1.092670626274491,1.611676178972143,-0.27001877066714564,-0.39576990961299163,-0.36957021287438957,-0.43807713410664323,0.6289270173844816
