Person,Day,Calculator-Bin1,Calendar-Bin1,Camera-Bin1,Clock-Bin1,Contacts-Bin1,Facebook-Bin1,Gallery-Bin1,Gmail-Bin1,Google Play Store-Bin1,Instagram-Bin1,Maps-Bin1,Messaging-Bin1,Messenger-Bin1,Phone-Bin1,Photos-Bin1,Settings-Bin1,Twitter-Bin1,WhatsApp-Bin1,YouTube-Bin1
1,Day6,0.03965966799421177,-0.2838052302101075,-0.4985628160789108,-0.10584341175203453,-0.13195002958077973,-0.5719018459572925,-0.3277954749282247,-0.26515092234918364,-0.3106770538803314,-0.738553104003879,-0.1847553268153554,1.7803794913268474,-0.5624198319189657,3.871990107817024,-0.3109833714375577,-0.26937453560552754,-0.004224869496976754,-0.4006966456396723,-0.3790070322498531
1,Day7,-0.22212970997654927,-0.2838052302101075,-0.4985628160789108,-0.24164250607539958,-0.13195002958077973,-0.29322546125705573,-0.3277954749282247,-0.3677488758798511,-0.3106770538803314,-0.7361046411144153,-0.37630474038192785,0.04785838906582012,-0.6623725635122417,-0.45339719720114285,-0.3109833714375577,-0.5344275545970626,0.1051462109875291,-0.4006966456396723,-0.47628377831450397
2,Day6,-0.22212970997654927,-0.2838052302101075,-0.4985628160789108,-0.40140614645582906,-0.13195002958077973,0.6762209988332865,6.81409349607148,-0.2993502401927395,-0.3106770538803314,2.886804280995264,-0.37630474038192785,-0.31983493839245547,2.0312254083988637,-0.45339719720114285,-0.3109833714375577,-0.5344275545970626,-0.419834975338099,-0.29657100743260734,0.5542417503078915
2,Day7,-0.22212970997654927,-0.2838052302101075,-0.4985628160789108,-0.33750069030365726,-0.13195002958077973,-0.4250638642172244,2.291087750626511,-0.3677488758798511,-0.3106770538803314,0.06617503233316634,-0.37630474038192785,-0.31983493839245547,2.8769792911111995,-0.45339719720114285,-0.3109833714375577,-0.5344275545970626,-0.419834975338099,-0.4006966456396723,1.289897142421814
3,Day6,-0.22212970997654927,-0.2838052302101075,0.22434657032296285,0.005991136514266106,-0.13195002958077973,-0.10454654923621555,-0.3277954749282247,6.77013731975373,1.3134209061155968,-0.020337323094548464,-0.37630474038192785,-0.31983493839245547,1.5998054985304502,2.8620011939549137,-0.3109833714375577,1.0558905593521482,-0.419834975338099,0.5798197808101894,0.019219646952311563
3,Day7,-0.22212970997654927,-0.2838052302101075,-0.48213305729705,0.5571756958267478,-0.13195002958077973,0.12202603549173902,-0.3277954749282247,0.3650936493392024,-0.3106770538803314,-0.3484313502826744,-0.37630474038192785,-0.31983493839245547,-0.056676095994013444,-0.45339719720114285,-0.3109833714375577,-0.3416617226032189,-0.419834975338099,-0.14472111838063761,1.8097197542047923
4,Day6,-0.22212970997654927,-0.2838052302101075,-0.10424860531425244,0.029955682571330525,-0.13195002958077973,-0.6390052247094742,-0.10479013476090006,-0.3677488758798511,-0.2556228857448762,-0.3614898190264804,-0.3359785480521231,-0.31983493839245547,-0.6290549863144831,-0.45339719720114285,-0.3109833714375577,-0.5344275545970626,-0.419834975338099,0.2529809719935688,-0.47628377831450397
4,Day7,-0.22212970997654927,-0.2838052302101075,-0.32605034886937273,-0.02596159156181979,-0.13195002958077973,0.533330274666876,-0.05904544959837192,-0.3677488758798511,-0.3106770538803314,-0.34108596161428356,-0.37630474038192785,-0.31983493839245547,-0.402666320739969,-0.26457318287040055,-0.3109833714375577,-0.5344275545970626,-0.419834975338099,0.3122747381948141,-0.4702039816854633
5,Day6,0.13783068473324717,-0.1386596276072854,-0.32605034886937273,0.5012584216935975,-0.13195002958077973,0.3414935565871096,2.108109009976398,-0.3677488758798511,-0.3106770538803314,-0.012991934426157585,-0.37630474038192785,-0.31983493839245547,-0.6401608453804026,-0.45339719720114285,-0.3109833714375577,-0.4862360965986017,-0.419834975338099,-0.4006966456396723,0.03847233627760705
5,Day7,-0.22212970997654927,-0.2838052302101075,-0.13710812287797397,-0.15377250386616337,-0.13195002958077973,0.7867442108957032,0.15252371927832067,-0.3677488758798511,-0.3106770538803314,-0.16561278786939032,-0.15955145660922743,-0.31983493839245547,-0.6230749083559111,-0.17674805992586926,-0.3109833714375577,-0.4621403675993712,-0.419834975338099,-0.4006966456396723,-0.21687912214210156
