User,Day,Calculator-Bin1,Calendar-Bin1,Camera-Bin1,Clock-Bin1,Contacts-Bin1,Facebook-Bin1,Gallery-Bin1,Gmail-Bin1,Google Play Store-Bin1,Google Search-Bin1,Instagram-Bin1,Internet-Bin1,Maps-Bin1,Messaging-Bin1,Messenger-Bin1,Phone-Bin1,Photos-Bin1,Settings-Bin1,Twitter-Bin1,WhatsApp-Bin1,YouTube-Bin1
1,Day5,0.05373979879332317,-0.28768489111739254,-0.5055117087892413,-0.08858468392108684,-0.13003056041822827,-0.5432116079851509,-0.3149099647550243,-0.25180719296279386,-0.30872427793143714,0,-0.7074977436492731,0,-0.18423464515631155,1.788775429215935,-0.5569618912710703,3.502609411341319,-0.32970839962926346,-0.2577892027047282,0.02625664122516554,-0.38645104935988467,-0.36332976157586305
1,Day6,-0.21735523715770838,-0.28768489111739254,-0.5055117087892413,-0.22883682224581794,-0.13003056041822827,-0.2605701122022719,-0.3149099647550243,-0.3577803010943016,-0.30872427793143714,0,-0.7050934364743012,0,-0.37930662238064144,0.053161913866703096,-0.6545283530628008,-0.43623573363877355,-0.32970839962926346,-0.455348978739527,0.13904802058694138,-0.38645104935988467,-0.4626134319041265
2,Day3,-0.21735523715770838,-0.28768489111739254,-0.5055117087892413,-0.3938393379219722,-0.13003056041822827,0.7226699921075735,7.068277758400742,-0.2871315623399631,-0.30872427793143714,0,2.8524797467589496,0,-0.37930662238064144,-0.3151877170887094,1.9747627070169118,-0.43623573363877355,-0.32970839962926346,-0.455348978739527,-0.40235060034958264,-0.28555280095003677,0.5891729506359143
2,Day4,-0.21735523715770838,-0.28768489111739254,-0.5055117087892413,-0.3278383316515105,-0.13003056041822827,-0.39428436091541863,2.39245590970882,-0.3577803010943016,-0.30872427793143714,0,0.08271788119145355,0,-0.37930662238064144,-0.3151877170887094,2.8003250760238627,-0.43623573363877355,-0.32970839962926346,-0.455348978739527,-0.40235060034958264,-0.38645104935988467,1.3400057074934069
3,Day5,-0.21735523715770838,-0.28768489111739254,0.2319326996119426,0.026917077052221124,-0.13003056041822827,-0.0692066065589062,-0.3149099647550243,7.014920221769168,1.3246620512329874,0,-0.00223430565754951,0,-0.37930662238064144,-0.3151877170887094,1.5536425086850836,2.5828790729195714,-0.32970839962926346,0.7300096774692657,-0.40235060034958264,0.5636741231661831,0.04311276383046543
3,Day6,-0.21735523715770838,-0.28768489111739254,-0.48875160859830535,0.5961757561349533,-0.13003056041822827,0.16058973703793877,-0.3149099647550243,0.3991704712736111,-0.30872427793143714,0,-0.32441146710376867,0,-0.37930662238064144,-0.3151877170887094,-0.06329227263257046,-0.43623573363877355,-0.32970839962926346,-0.3116691416233097,-0.40235060034958264,-0.13840952201900855,1.8705528208100646
4,Day3,-0.21735523715770838,-0.28768489111739254,-0.10326930420677738,0.05166745440364426,-0.13003056041822827,-0.6112697585277705,-0.08437007588146557,-0.3577803010943016,-0.2533552498241685,0,-0.3372344387036182,0,-0.33823883770183516,-0.3151877170887094,-0.622006199132224,-0.43623573363877355,-0.32970839962926346,-0.455348978739527,-0.40235060034958264,0.24696573232416053,-0.4626134319041265
4,Day4,-0.21735523715770838,-0.28768489111739254,-0.3295306567844134,-0.006083426083009724,-0.13003056041822827,0.5777461656579953,-0.03707984226637659,-0.3577803010943016,-0.30872427793143714,0,-0.3171985455788533,0,-0.37930662238064144,-0.3151877170887094,-0.40102233268086845,-0.2642861486294903,-0.32970839962926346,-0.455348978739527,-0.40235060034958264,0.30442167933532394,-0.45640820250861003
5,Day5,0.15540043727496,-0.13874402070158964,-0.3295306567844134,0.5384248756482993,-0.13003056041822827,0.3831799235185064,2.203294975248464,-0.3577803010943016,-0.30872427793143714,0,0.0049786158673658445,0,-0.37930662238064144,-0.3151877170887094,-0.6328469171090829,-0.43623573363877355,-0.32970839962926346,-0.4194290194604727,-0.40235060034958264,-0.38645104935988467,0.06276265691626758
5,Day6,-0.21735523715770838,-0.28768489111739254,-0.13678950458864939,-0.13808543862393313,-0.13003056041822827,0.8347657694718882,0.18163748820340994,-0.3577803010943016,-0.30872427793143714,0,-0.1448898647058754,0,-0.15856727973205761,-0.3151877170887094,-0.6161688894523768,-0.18430959746238182,-0.32970839962926346,-0.4014690398209455,-0.40235060034958264,-0.38645104935988467,-0.19785697769542399
6,Day1,-0.21735523715770838,-0.28768489111739254,-0.5055117087892413,-0.3938393379219722,0.15618811095233456,-0.7954271070548588,-0.3149099647550243,-0.3577803010943016,-0.30872427793143714,0,-0.7074977436492731,0,-0.37930662238064144,-0.015513441057187376,-0.6453554378516124,-0.43623573363877355,-0.32970839962926346,-0.455348978739527,-0.40235060034958264,-0.38645104935988467,-0.4626134319041265
6,Day2,-0.21735523715770838,-0.18839097750685727,-0.5055117087892413,-0.3938393379219722,0.0880408082450577,-0.6456991758610957,-0.3149099647550243,-0.3577803010943016,-0.30872427793143714,0,-0.7074977436492731,0,-0.37930662238064144,2.7377439699824215,-0.6753758876336834,-0.43623573363877355,-0.32970839962926346,-0.455348978739527,-0.40235060034958264,-0.38645104935988467,-0.4626134319041265
6,Day8,-0.21735523715770838,-0.28768489111739254,-0.5055117087892413,-0.36083883478674134,-0.13003056041822827,-0.9547632477369917,-0.3149099647550243,-0.3577803010943016,-0.30872427793143714,0,-0.7074977436492731,0,-0.37930662238064144,-0.3151877170887094,-0.6395181281717653,-0.43623573363877355,-0.32970839962926346,-0.455348978739527,-0.40235060034958264,-0.38645104935988467,-0.4626134319041265
6,Day9,-0.21735523715770838,-0.28768489111739254,-0.5055117087892413,-0.3938393379219722,-0.07892008338777062,-0.9307427240160672,-0.3149099647550243,-0.3577803010943016,-0.30872427793143714,0,-0.7074977436492731,0,-0.37930662238064144,-0.3151877170887094,-0.6970573235874012,-0.43623573363877355,-0.32970839962926346,-0.455348978739527,-0.40235060034958264,-0.38645104935988467,-0.4626134319041265
7,Day6,-0.21735523715770838,-0.28768489111739254,-0.5055117087892413,-0.3938393379219722,-0.061883257710951406,0.07972064051082607,-0.2794422895437076,-0.3577803010943016,-0.2902679352290143,0,-0.43901677577742376,0,-0.09183212962899738,-0.3151877170887094,-0.6970573235874012,-0.08833773606185165,-0.32970839962926346,-0.455348978739527,-0.16115057371440047,0.5959055080748845,-0.4626134319041265
